2000-01-01 00:04:21 946685061.000000 [message] [main] Starting torctl program on host relayexit2 process id 10603
2000-01-01 00:04:21 946685061.000000 [message] [main] entering main loop to watch descriptors
2000-01-01 00:04:21 946685061.000000 [info] [_torctl_activate] torctl-sent 'AUTHENTICATE'
2000-01-01 00:04:21 946685061.000000 [info] [_torctl_processLine] successfully received auth response '250 OK'
2000-01-01 00:04:21 946685061.000000 [info] [_torctl_activate] torctl-sent 'GETINFO status/bootstrap-phase'
2000-01-01 00:04:21 946685061.000000 [info] [_torctl_activate] torctl-sent 'SETEVENTS EXTENDED STATUS_CLIENT'
2000-01-01 00:10:33 946685433.893236 [message] [_torctl_processLine] torctl ready (Bootstrapped 100)
2000-01-01 00:10:33 946685433.893236 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 STATUS_CLIENT NOTICE CIRCUIT_ESTABLISHED
2000-01-01 00:10:33 946685433.893236 [info] [_torctl_activate] torctl-sent 'SETEVENTS BW'
2000-01-01 00:10:33 946685433.893236 [message] [_torctl_processLine] [torctl-log] localhost:9051 250 OK
2000-01-01 00:10:34 946685434.000236 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1643 1860
2000-01-01 00:10:35 946685435.000241 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1629 1647
2000-01-01 00:10:36 946685436.000751 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1629 1647
2000-01-01 00:10:37 946685437.000198 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 5322 5302
2000-01-01 00:10:38 946685438.000710 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1629 1647
2000-01-01 00:10:39 946685439.000710 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 18
2000-01-01 00:10:40 946685440.000239 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1086 13
2000-01-01 00:10:41 946685441.000239 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 16
2000-01-01 00:10:42 946685442.000476 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 4726 4040
2000-01-01 00:10:43 946685443.000605 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 4247 4930
2000-01-01 00:10:44 946685444.000590 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 141461 141073
2000-01-01 00:10:45 946685445.000965 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 118555 118258
2000-01-01 00:10:46 946685446.000965 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 22
2000-01-01 00:10:47 946685447.000965 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:10:48 946685448.000965 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:10:49 946685449.000003 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 2172 1642
2000-01-01 00:10:50 946685450.000003 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 18
2000-01-01 00:10:51 946685451.000003 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:10:52 946685452.000003 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:10:53 946685453.000003 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:10:54 946685454.000003 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:10:55 946685455.000404 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1629 1642
2000-01-01 00:10:56 946685456.000404 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 18
2000-01-01 00:10:57 946685457.000503 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 13
2000-01-01 00:10:58 946685458.000503 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 15
2000-01-01 00:10:59 946685459.000503 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:11:00 946685460.000503 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1629 1642
2000-01-01 00:11:01 946685461.000503 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 18
2000-01-01 00:11:02 946685462.000503 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 15
2000-01-01 00:11:03 946685463.000503 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:11:04 946685464.000503 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:11:05 946685465.000503 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:11:06 946685466.000843 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1629 1642
2000-01-01 00:11:07 946685467.000843 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 18
2000-01-01 00:11:08 946685468.000843 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:11:09 946685469.000843 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 13
2000-01-01 00:11:10 946685470.000843 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 15
2000-01-01 00:11:11 946685471.000881 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1629 1642
2000-01-01 00:11:12 946685472.000881 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 18
2000-01-01 00:11:13 946685473.000843 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:11:14 946685474.000843 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 13
2000-01-01 00:11:15 946685475.000843 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 15
2000-01-01 00:11:16 946685476.000843 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:11:17 946685477.000585 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 556
2000-01-01 00:11:18 946685478.000585 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 16
2000-01-01 00:11:19 946685479.000424 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1086 556
2000-01-01 00:11:20 946685480.000181 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 560
2000-01-01 00:11:21 946685481.000496 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1629 1645
2000-01-01 00:11:22 946685482.000293 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 9664 10732
2000-01-01 00:11:23 946685483.000197 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 9231 9250
2000-01-01 00:11:24 946685484.000169 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 295421 520772
2000-01-01 00:11:25 946685485.000433 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 226962 1651
2000-01-01 00:11:26 946685486.000550 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1629 2192
2000-01-01 00:11:27 946685487.000796 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1086 561
2000-01-01 00:11:28 946685488.000788 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 543 17
2000-01-01 00:11:29 946685489.000788 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 15
2000-01-01 00:11:30 946685490.000788 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:11:31 946685491.000788 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:11:32 946685492.000788 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:11:33 946685493.000788 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:11:34 946685494.000788 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:11:35 946685495.000693 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1629 1642
2000-01-01 00:11:36 946685496.000129 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1629 3189
2000-01-01 00:11:37 946685497.000129 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 18
2000-01-01 00:11:38 946685498.000667 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1629 1642
2000-01-01 00:11:39 946685499.000667 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 18
2000-01-01 00:11:40 946685500.000667 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
