2000-01-01 00:04:21 946685061.000000 [message] [main] Starting torctl program on host relayexit1 process id 10612
2000-01-01 00:04:21 946685061.000000 [message] [main] entering main loop to watch descriptors
2000-01-01 00:04:21 946685061.000000 [info] [_torctl_activate] torctl-sent 'AUTHENTICATE'
2000-01-01 00:04:21 946685061.000000 [info] [_torctl_processLine] successfully received auth response '250 OK'
2000-01-01 00:04:21 946685061.000000 [info] [_torctl_activate] torctl-sent 'GETINFO status/bootstrap-phase'
2000-01-01 00:04:21 946685061.000000 [info] [_torctl_activate] torctl-sent 'SETEVENTS EXTENDED STATUS_CLIENT'
2000-01-01 00:12:06 946685526.647807 [message] [_torctl_processLine] torctl ready (Bootstrapped 100)
2000-01-01 00:12:06 946685526.647807 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 STATUS_CLIENT NOTICE CIRCUIT_ESTABLISHED
2000-01-01 00:12:06 946685526.647807 [info] [_torctl_activate] torctl-sent 'SETEVENTS BW'
2000-01-01 00:12:06 946685526.647807 [message] [_torctl_processLine] [torctl-log] localhost:9051 250 OK
2000-01-01 00:12:07 946685527.000789 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 3338 3767
2000-01-01 00:12:08 946685528.000865 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1695 1925
2000-01-01 00:12:09 946685529.000490 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 2238 1925
2000-01-01 00:12:10 946685530.000115 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1695 1925
2000-01-01 00:12:11 946685531.000740 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1695 1925
2000-01-01 00:12:12 946685532.000897 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 296
2000-01-01 00:12:13 946685533.000054 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 293
2000-01-01 00:12:14 946685534.000211 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 293
2000-01-01 00:12:15 946685535.000368 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 293
2000-01-01 00:12:16 946685536.000558 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1695 1922
2000-01-01 00:12:17 946685537.000715 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 296
2000-01-01 00:12:18 946685538.000872 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 293
2000-01-01 00:12:19 946685539.000029 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 293
2000-01-01 00:12:20 946685540.000186 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 293
2000-01-01 00:12:21 946685541.000343 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 293
2000-01-01 00:12:22 946685542.000883 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 6039 6809
2000-01-01 00:12:23 946685543.000925 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 48025 526706
2000-01-01 00:12:24 946685544.000790 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 483404 5043
2000-01-01 00:12:25 946685545.000948 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1152 1384
2000-01-01 00:12:26 946685546.000706 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1695 1925
2000-01-01 00:12:27 946685547.000264 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 2238 1925
2000-01-01 00:12:28 946685548.000552 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 609 839
2000-01-01 00:12:29 946685549.000709 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 294
2000-01-01 00:12:30 946685550.000866 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 293
2000-01-01 00:12:31 946685551.000023 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 293
2000-01-01 00:12:32 946685552.000820 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 609 836
2000-01-01 00:12:33 946685553.000977 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 294
2000-01-01 00:12:34 946685554.000053 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1695 1922
2000-01-01 00:12:35 946685555.000210 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 296
2000-01-01 00:12:36 946685556.000367 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 293
2000-01-01 00:12:37 946685557.000524 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 293
2000-01-01 00:12:38 946685558.000021 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1695 1922
2000-01-01 00:12:39 946685559.000601 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 4352 2468
2000-01-01 00:12:40 946685560.000758 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 839
2000-01-01 00:12:41 946685561.000915 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 293
2000-01-01 00:12:42 946685562.000072 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 293
2000-01-01 00:12:43 946685563.000440 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 609 836
2000-01-01 00:12:44 946685564.000597 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 294
2000-01-01 00:12:45 946685565.000864 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1695 1922
2000-01-01 00:12:46 946685566.000021 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 296
2000-01-01 00:12:47 946685567.000178 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 293
2000-01-01 00:12:48 946685568.000335 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 293
2000-01-01 00:12:49 946685569.000492 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 293
2000-01-01 00:12:50 946685570.000485 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 3212 3951
2000-01-01 00:12:51 946685571.000642 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 296
2000-01-01 00:12:52 946685572.000799 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 293
2000-01-01 00:12:53 946685573.000188 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 2238 2950
2000-01-01 00:12:54 946685574.000962 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1695 1382
2000-01-01 00:12:55 946685575.000368 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 609 839
2000-01-01 00:12:56 946685576.000444 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 2209 1923
2000-01-01 00:12:57 946685577.000601 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 839
2000-01-01 00:12:58 946685578.000758 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 293
2000-01-01 00:12:59 946685579.000886 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 293
2000-01-01 00:13:00 946685580.000043 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 293
2000-01-01 00:13:01 946685581.000480 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 609 836
2000-01-01 00:13:02 946685582.000637 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 294
2000-01-01 00:13:03 946685583.000794 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 293
2000-01-01 00:13:04 946685584.000447 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1695 1922
2000-01-01 00:13:05 946685585.000604 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 296
2000-01-01 00:13:06 946685586.000761 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 293
2000-01-01 00:13:07 946685587.000837 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1695 1922
2000-01-01 00:13:08 946685588.000994 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 296
2000-01-01 00:13:09 946685589.000599 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 3324 5093
2000-01-01 00:13:10 946685590.000848 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 609 296
2000-01-01 00:13:11 946685591.000005 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 837
2000-01-01 00:13:12 946685592.000162 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 293
2000-01-01 00:13:13 946685593.000319 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 293
