timestamp,value
9466860005,12
9466860010,39969
9466860015,406744
9466860020,323700
9466860025,423300
9466860030,327186
9466860035,419814
9466860040,330672
9466860045,419814
9466860050,339636
9466860055,407364
9466860060,329178
9466860065,417822
9466860070,323700
9466860075,426786
9466860080,341628
9466860085,423300
9466860090,323700
9466860095,426786
9466860100,324696
9466860105,425790
9466860110,391428
9466860115,373500
9466860120,351588
9466860125,395412
9466860130,373500
9466860135,380472
9466860140,366528
9466860145,398400
9466860150,348600
9466860155,398400
9466860160,348600
9466860165,398400
9466860170,348600
9466860175,398400
9466860180,348600
9466860185,398400
9466860190,348600
9466860195,398400
9466860200,348600
9466860205,398400
9466860210,348600
9466860215,398400
9466860220,352086
9466860225,394914
9466860230,348600
9466860235,405372
9466860240,341628
9466860245,407364
9466860250,343620
9466860255,401886
9466860260,350592
9466860265,401886
9466860270,342624
9466860275,394914
9466860280,358560
9466860285,409854
9466860290,348600
9466860295,398400
9466860300,348600
9466860305,398400
9466860310,355572
9466860315,391428
9466860320,357564
9466860325,389436
9466860330,348600
9466860335,423300
9466860340,336648
9466860345,410352
9466860350,348600
9466860355,398400
9466860360,348600
9466860365,398400
9466860370,373500
9466860375,373500
9466860380,348600
9466860385,405372
9466860390,341628
9466860395,423300
9466860400,323700
9466860405,423300
9466860410,325692
9466860415,421308
9466860420,323700
9466860425,423300
9466860430,327186
9466860435,419814
9466860440,338640
9466860445,408360
9466860450,333660
9466860455,413340
9466860460,355074
9466860465,391926
9466860470,423300
9466860475,327186
9466860480,419814
9466860485,334158
9466860490,412842
9466860495,352086
9466860500,394914
9466860505,348600
9466860510,400392
9466860515,357564
9466860520,394914
9466860525,344616
9466860530,401886
9466860535,353082
9466860540,411846
9466860545,348600
9466860550,398400
9466860555,351588
9466860560,395412
9466860565,352086
9466860570,394914
9466860575,348600
9466860580,398400
9466860585,348600
9466860590,398400
9466860595,348600
9466860600,398400
9466860605,12
9466860610,39969
9466860615,348976
9466860620,381468
9466860625,423300
9466860630,323700
9466860635,423300
9466860640,341130
9466860645,405870
9466860650,373500
9466860655,373500
9466860660,373500
9466860665,398400
9466860670,348600
9466860675,398400
9466860680,348600
9466860685,342126
9466860690,404874
9466860695,331668
9466860700,440232
9466860705,373500
9466860710,373500
9466860715,373500
9466860720,373500
9466860725,373500
9466860730,373500
9466860735,373500
9466860740,373500
9466860745,281370
9466860750,465630
9466860755,298800
9466860760,448200
9466860765,302286
9466860770,444714
9466860775,299796
9466860780,447204
9466860785,305274
9466860790,446208
9466860795,418818
9466860800,326688
9466860805,445212
9466860810,323700
9466860815,426288
9466860820,320712
9466860825,426786
9466860830,320214
9466860835,433758
9466860840,313242
9466860845,448200
9466860850,302286
