timestamp,value
9466860005,12
9466860010,39969
9466860015,381844
9466860020,348600
9466860025,398400
9466860030,348600
9466860035,373500
9466860040,373500
9466860045,373500
9466860050,373500
9466860055,373500
9466860060,297306
9466860065,325194
9466860070,398400
9466860075,348600
9466860080,358560
9466860085,288840
9466860090,348600
9466860095,398400
9466860100,304776
9466860105,369018
9466860110,322206
9466860115,348600
9466860120,378480
9466860125,318720
9466860130,298800
9466860135,398400
9466860140,348600
9466860145,288342
9466860150,386946
9466860155,320712
9466860160,423300
9466860165,323700
9466860170,341628
9466860175,380472
9466860180,298800
9466860185,432762
9466860190,289338
9466860195,473100
9466860200,253980
9466860205,268920
9466860210,473100
9466860215,261948
9466860220,305772
9466860225,428280
9466860230,273900
9466860235,426786
9466860240,298800
9466860245,270414
9466860250,473100
9466860255,263940
9466860260,290334
9466860265,441726
9466860270,298800
9466860275,294816
9466860280,402384
9466860285,298800
9466860290,350094
9466860295,351588
9466860300,294318
9466860305,448200
9466860310,288840
9466860315,293820
9466860320,413340
9466860325,302286
9466860330,447204
9466860335,275637
9466860340,265434
9466860345,270175
9466860350,260454
9466860355,273900
9466860360,267426
9466860365,248502
9466860370,248004
9466860375,246012
9466860380,246510
9466860385,247428
9466860390,311179
9466860395,322206
9466860400,423300
9466860405,323700
9466860410,439236
9466860415,307764
9466860420,425292
9466860425,321708
9466860430,423300
9466860435,323700
9466860440,423300
9466860445,323700
9466860450,423300
9466860455,323700
9466860460,423300
9466860465,323700
9466860470,423300
9466860475,282864
9466860480,369018
9466860485,369018
9466860490,298800
9466860495,448200
9466860500,275394
9466860505,346110
9466860510,374496
9466860515,298800
9466860520,426786
9466860525,295314
9466860530,274896
9466860535,447204
9466860540,298800
9466860545,448200
9466860550,277386
9466860555,311250
9466860560,416328
9466860565,289836
9466860570,448200
9466860575,298800
9466860580,448200
9466860585,298800
9466860590,425292
9466860595,321708
9466860600,356070
9466860605,12
9466860610,39969
9466860615,404752
9466860620,307266
9466860625,441726
9466860630,298800
9466860635,448200
9466860640,298800
9466860645,423300
9466860650,323700
9466860655,423300
9466860660,323700
9466860665,423300
9466860670,323700
9466860675,427284
9466860680,319716
9466860685,426786
9466860690,320214
9466860695,426786
9466860700,323202
9466860705,423798
9466860710,325194
9466860715,421806
9466860720,323700
9466860725,436746
9466860730,313740
9466860735,387942
9466860740,376986
9466860745,392922
9466860750,354078
9466860755,398400
9466860760,348600
9466860765,423300
9466860770,303282
9466860775,418818
9466860780,323700
9466860785,423300
9466860790,323700
9466860795,347106
9466860800,374994
9466860805,286848
9466860810,413838
9466860815,320214
9466860820,423300
9466860825,323700
9466860830,409356
9466860835,337644
9466860840,252486
9466860845,469614
9466860850,273900
