2000-01-01 00:07:41 946685261.000000 [message] [main] Starting torctl program on host relaymiddle2 process id 835
2000-01-01 00:07:41 946685261.000000 [message] [main] entering main loop to watch descriptors
2000-01-01 00:07:41 946685261.000000 [info] [_torctl_activate] torctl-sent 'AUTHENTICATE'
2000-01-01 00:07:41 946685261.000000 [info] [_torctl_processLine] successfully received auth response '250 OK'
2000-01-01 00:07:41 946685261.000000 [info] [_torctl_activate] torctl-sent 'GETINFO status/bootstrap-phase'
2000-01-01 00:07:41 946685261.000000 [info] [_torctl_activate] torctl-sent 'SETEVENTS EXTENDED STATUS_CLIENT'
2000-01-01 00:11:18 946685478.484075 [message] [_torctl_processLine] torctl ready (Bootstrapped 100)
2000-01-01 00:11:18 946685478.484075 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 STATUS_CLIENT NOTICE CIRCUIT_ESTABLISHED
2000-01-01 00:11:18 946685478.484075 [info] [_torctl_activate] torctl-sent 'SETEVENTS BW'
2000-01-01 00:11:18 946685478.484075 [message] [_torctl_processLine] [torctl-log] localhost:9051 250 OK
2000-01-01 00:11:19 946685479.000075 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1709 2138
2000-01-01 00:11:20 946685480.000957 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1695 1925
2000-01-01 00:11:21 946685481.000991 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1695 1925
2000-01-01 00:11:22 946685482.000175 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1695 1925
2000-01-01 00:11:23 946685483.000235 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 49530 48711
2000-01-01 00:11:24 946685484.000253 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 219785 220322
2000-01-01 00:11:25 946685485.000962 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 66 300
2000-01-01 00:11:26 946685486.000671 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 609 293
