2000-01-01 00:07:41 946685261.000000 [message] [main] Starting torctl program on host relaymiddle1 process id 10603
2000-01-01 00:07:41 946685261.000000 [message] [main] entering main loop to watch descriptors
2000-01-01 00:07:41 946685261.000000 [info] [_torctl_activate] torctl-sent 'AUTHENTICATE'
2000-01-01 00:07:41 946685261.000000 [info] [_torctl_processLine] successfully received auth response '250 OK'
2000-01-01 00:07:41 946685261.000000 [info] [_torctl_activate] torctl-sent 'GETINFO status/bootstrap-phase'
2000-01-01 00:07:41 946685261.000000 [info] [_torctl_activate] torctl-sent 'SETEVENTS EXTENDED STATUS_CLIENT'
2000-01-01 00:10:21 946685421.845312 [message] [_torctl_processLine] torctl ready (Bootstrapped 100)
2000-01-01 00:10:21 946685421.845312 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 STATUS_CLIENT NOTICE CIRCUIT_ESTABLISHED
2000-01-01 00:10:21 946685421.845312 [info] [_torctl_activate] torctl-sent 'SETEVENTS BW'
2000-01-01 00:10:21 946685421.845312 [message] [_torctl_processLine] [torctl-log] localhost:9051 250 OK
2000-01-01 00:10:22 946685422.000312 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1643 1860
2000-01-01 00:10:23 946685423.000593 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1629 1647
2000-01-01 00:10:24 946685424.000928 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1629 1647
2000-01-01 00:10:25 946685425.000276 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1629 1647
2000-01-01 00:10:26 946685426.000611 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 1629 1647
2000-01-01 00:10:27 946685427.000611 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 18
2000-01-01 00:10:28 946685428.000611 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
2000-01-01 00:10:29 946685429.000611 [message] [_torctl_processLine] [torctl-log] localhost:9051 650 BW 0 13
